sym_ind  identity renorm=True  mask=None   beta= 0.5 | F nonincr steps=0.876 seeds mono=0.58 | H seeds mono=0.00 | F -532.35->-532.74 norm=1.00
sym_ind  identity renorm=True  mask=None   beta= 1.0 | F nonincr steps=0.872 seeds mono=0.58 | H seeds mono=0.00 | F -266.19->-266.63 norm=1.00
sym_ind  identity renorm=True  mask=None   beta= 2.0 | F nonincr steps=0.884 seeds mono=0.58 | H seeds mono=0.00 | F -133.12->-133.65 norm=1.00
sym_ind  identity renorm=True  mask=None   beta= 4.0 | F nonincr steps=0.887 seeds mono=0.58 | H seeds mono=0.00 | F -66.61->-67.31 norm=1.00
sym_ind  identity renorm=True  mask=None   beta= 8.0 | F nonincr steps=0.914 seeds mono=0.58 | H seeds mono=0.00 | F -33.40->-34.46 norm=1.00
sym_ind  identity renorm=True  mask=causal beta= 0.5 | F nonincr steps=0.384 seeds mono=0.00 | H seeds mono=0.00 | F -410.33->-409.78 norm=1.00
sym_ind  identity renorm=True  mask=causal beta= 1.0 | F nonincr steps=0.382 seeds mono=0.00 | H seeds mono=0.00 | F -205.17->-204.62 norm=1.00
sym_ind  identity renorm=True  mask=causal beta= 2.0 | F nonincr steps=0.381 seeds mono=0.00 | H seeds mono=0.00 | F -102.60->-102.03 norm=1.00
sym_ind  identity renorm=True  mask=causal beta= 4.0 | F nonincr steps=0.378 seeds mono=0.00 | H seeds mono=0.00 | F -51.34->-50.74 norm=1.00
sym_ind  identity renorm=True  mask=causal beta= 8.0 | F nonincr steps=0.369 seeds mono=0.00 | H seeds mono=0.00 | F -25.75->-25.09 norm=1.00
sym_ind  identity renorm=False mask=None   beta= 0.5 | F nonincr steps=0.583 seeds mono=0.58 | H seeds mono=1.00 | F -532.35->-63373039666440515354624.00 norm=318040925883.87
sym_ind  identity renorm=False mask=None   beta= 1.0 | F nonincr steps=0.583 seeds mono=0.58 | H seeds mono=1.00 | F -266.19->-82458734851445099593728.00 norm=318620805049.61
sym_ind  identity renorm=False mask=None   beta= 2.0 | F nonincr steps=0.723 seeds mono=0.58 | H seeds mono=1.00 | F -133.12->-118057187633469172219904.00 norm=320279757522.67
sym_ind  identity renorm=False mask=None   beta= 4.0 | F nonincr steps=0.811 seeds mono=0.58 | H seeds mono=0.92 | F -66.61->-188129420564082439749632.00 norm=325395637871.93
sym_ind  identity renorm=False mask=None   beta= 8.0 | F nonincr steps=0.904 seeds mono=0.58 | H seeds mono=0.83 | F -33.40->-354811491614478693302272.00 norm=343140154776.87
sym_ind  identity renorm=False mask=causal beta= 0.5 | F nonincr steps=0.395 seeds mono=0.17 | H seeds mono=1.00 | F -410.33->-4113715225752482575548416.00 norm=1770607957441.32
sym_ind  identity renorm=False mask=causal beta= 1.0 | F nonincr steps=0.476 seeds mono=0.25 | H seeds mono=0.92 | F -205.17->-4614314388159132208201728.00 norm=1752031539250.60
sym_ind  identity renorm=False mask=causal beta= 2.0 | F nonincr steps=0.624 seeds mono=0.25 | H seeds mono=1.00 | F -102.60->-5212481409087021313425408.00 norm=1739253079880.69
sym_ind  identity renorm=False mask=causal beta= 4.0 | F nonincr steps=0.790 seeds mono=0.33 | H seeds mono=0.92 | F -51.34->-5972891218281551907258368.00 norm=1706249293624.81
sym_ind  identity renorm=False mask=causal beta= 8.0 | F nonincr steps=0.806 seeds mono=0.42 | H seeds mono=1.00 | F -25.75->-6584247520091493143412736.00 norm=1537213378892.21
sym_ind  random   renorm=True  mask=None   beta= 0.5 | F nonincr steps=0.559 seeds mono=0.00 | H seeds mono=0.00 | F -532.34->-531.66 norm=1.00
sym_ind  random   renorm=True  mask=None   beta= 1.0 | F nonincr steps=0.559 seeds mono=0.00 | H seeds mono=0.00 | F -266.18->-265.49 norm=1.00
sym_ind  random   renorm=True  mask=None   beta= 2.0 | F nonincr steps=0.559 seeds mono=0.00 | H seeds mono=0.00 | F -133.12->-132.40 norm=1.00
sym_ind  random   renorm=True  mask=None   beta= 4.0 | F nonincr steps=0.559 seeds mono=0.00 | H seeds mono=0.00 | F -66.60->-65.86 norm=1.00
sym_ind  random   renorm=True  mask=None   beta= 8.0 | F nonincr steps=0.559 seeds mono=0.00 | H seeds mono=0.00 | F -33.39->-32.58 norm=1.00
sym_ind  random   renorm=True  mask=causal beta= 0.5 | F nonincr steps=0.526 seeds mono=0.00 | H seeds mono=0.00 | F -410.33->-410.14 norm=1.00
sym_ind  random   renorm=True  mask=causal beta= 1.0 | F nonincr steps=0.525 seeds mono=0.00 | H seeds mono=0.00 | F -205.17->-204.98 norm=1.00
sym_ind  random   renorm=True  mask=causal beta= 2.0 | F nonincr steps=0.525 seeds mono=0.00 | H seeds mono=0.00 | F -102.61->-102.39 norm=1.00
sym_ind  random   renorm=True  mask=causal beta= 4.0 | F nonincr steps=0.523 seeds mono=0.00 | H seeds mono=0.00 | F -51.34->-51.10 norm=1.00
sym_ind  random   renorm=True  mask=causal beta= 8.0 | F nonincr steps=0.522 seeds mono=0.00 | H seeds mono=0.00 | F -25.76->-25.45 norm=1.00
sym_ind  random   renorm=False mask=None   beta= 0.5 | F nonincr steps=0.399 seeds mono=0.00 | H seeds mono=0.25 | F -532.34->231417693589620700217344.00 norm=174597973381.70
sym_ind  random   renorm=False mask=None   beta= 1.0 | F nonincr steps=0.399 seeds mono=0.00 | H seeds mono=0.17 | F -266.18->227460943779968262864896.00 norm=173913914870.03
sym_ind  random   renorm=False mask=None   beta= 2.0 | F nonincr steps=0.399 seeds mono=0.00 | H seeds mono=0.08 | F -133.12->220418865279340185124864.00 norm=172894639984.38
sym_ind  random   renorm=False mask=None   beta= 4.0 | F nonincr steps=0.399 seeds mono=0.00 | H seeds mono=0.17 | F -66.60->208217315154106681131008.00 norm=171568422610.47
sym_ind  random   renorm=False mask=None   beta= 8.0 | F nonincr steps=0.398 seeds mono=0.00 | H seeds mono=0.17 | F -33.39->187743844993679363145728.00 norm=170237955291.33
sym_ind  random   renorm=False mask=causal beta= 0.5 | F nonincr steps=0.473 seeds mono=0.00 | H seeds mono=0.08 | F -410.33->7787128433781370739752960.00 norm=1097582793018.25
sym_ind  random   renorm=False mask=causal beta= 1.0 | F nonincr steps=0.473 seeds mono=0.00 | H seeds mono=0.08 | F -205.17->7085827610266904515575808.00 norm=1053977565282.46
sym_ind  random   renorm=False mask=causal beta= 2.0 | F nonincr steps=0.476 seeds mono=0.00 | H seeds mono=0.08 | F -102.61->6736194611169720170184704.00 norm=1029117759522.62
sym_ind  random   renorm=False mask=causal beta= 4.0 | F nonincr steps=0.478 seeds mono=0.00 | H seeds mono=0.00 | F -51.34->6517793010460942003077120.00 norm=1012895832056.26
sym_ind  random   renorm=False mask=causal beta= 8.0 | F nonincr steps=0.481 seeds mono=0.00 | H seeds mono=0.08 | F -25.76->6461339392159541299773440.00 norm=1007997891972.89
sym_ind  aligned  renorm=True  mask=None   beta= 0.5 | F nonincr steps=1.000 seeds mono=1.00 | H seeds mono=0.00 | F -532.35->-546.01 norm=1.00
sym_ind  aligned  renorm=True  mask=None   beta= 1.0 | F nonincr steps=1.000 seeds mono=1.00 | H seeds mono=0.00 | F -266.19->-279.84 norm=1.00
sym_ind  aligned  renorm=True  mask=None   beta= 2.0 | F nonincr steps=1.000 seeds mono=1.00 | H seeds mono=0.00 | F -133.12->-146.77 norm=1.00
sym_ind  aligned  renorm=True  mask=None   beta= 4.0 | F nonincr steps=1.000 seeds mono=1.00 | H seeds mono=0.00 | F -66.61->-80.24 norm=1.00
sym_ind  aligned  renorm=True  mask=None   beta= 8.0 | F nonincr steps=1.000 seeds mono=1.00 | H seeds mono=0.00 | F -33.40->-47.00 norm=1.00
sym_ind  aligned  renorm=True  mask=causal beta= 0.5 | F nonincr steps=1.000 seeds mono=1.00 | H seeds mono=0.00 | F -410.33->-424.47 norm=1.00
sym_ind  aligned  renorm=True  mask=causal beta= 1.0 | F nonincr steps=1.000 seeds mono=1.00 | H seeds mono=0.00 | F -205.17->-219.30 norm=1.00
sym_ind  aligned  renorm=True  mask=causal beta= 2.0 | F nonincr steps=1.000 seeds mono=1.00 | H seeds mono=0.00 | F -102.60->-116.70 norm=1.00
sym_ind  aligned  renorm=True  mask=causal beta= 4.0 | F nonincr steps=1.000 seeds mono=1.00 | H seeds mono=0.00 | F -51.34->-65.38 norm=1.00
sym_ind  aligned  renorm=True  mask=causal beta= 8.0 | F nonincr steps=1.000 seeds mono=1.00 | H seeds mono=0.00 | F -25.75->-39.60 norm=1.00
sym_ind  aligned  renorm=False mask=None   beta= 0.5 | F nonincr steps=1.000 seeds mono=1.00 | H seeds mono=0.92 | F -532.35->-14648.52 norm=22.72
sym_ind  aligned  renorm=False mask=None   beta= 1.0 | F nonincr steps=1.000 seeds mono=1.00 | H seeds mono=1.00 | F -266.19->-15264.15 norm=23.32
sym_ind  aligned  renorm=False mask=None   beta= 2.0 | F nonincr steps=1.000 seeds mono=1.00 | H seeds mono=1.00 | F -133.12->-17034.11 norm=24.60
sym_ind  aligned  renorm=False mask=None   beta= 4.0 | F nonincr steps=1.000 seeds mono=1.00 | H seeds mono=1.00 | F -66.61->-21600.79 norm=27.55
sym_ind  aligned  renorm=False mask=None   beta= 8.0 | F nonincr steps=1.000 seeds mono=1.00 | H seeds mono=1.00 | F -33.40->-36773.85 norm=35.93
sym_ind  aligned  renorm=False mask=causal beta= 0.5 | F nonincr steps=1.000 seeds mono=1.00 | H seeds mono=0.33 | F -410.33->-869408.49 norm=202.43
sym_ind  aligned  renorm=False mask=causal beta= 1.0 | F nonincr steps=1.000 seeds mono=1.00 | H seeds mono=0.50 | F -205.17->-873522.43 norm=203.75
